College,Branch,Category,Rank 2024,Percentile 2024,Rank 2025,Percentile 2025,Rank Change,Percentile Change
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,OBC/SEBC,107296.0,57.8688,105058.0,65.6307,-2238 ↓,+7.7619 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,GNT,115221.0,53.8203,99568.0,67.8237,-15653 ↓,+14.0034 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,TFWS,174949.0,6.3063,90749.0,71.1731,-84200 ↓,+64.8668 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,GOPENS,31294.0,89.3907,31723.0,90.6675,+429 ↑,+1.2768 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,LOPENS,27230.0,90.8627,26230.0,92.3562,-1000 ↓,+1.4935 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,SC/ST,44534.0,84.6402,46640.0,85.9775,+2106 ↑,+1.3373 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,OBC/SEBC,32152.0,89.1373,35298.0,89.6392,+3146 ↑,+0.5019 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,GNT,41057.0,86.0756,35310.0,89.6392,-5747 ↓,+3.5636 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,EWS,48345.0,83.47,69773.0,78.582,+21428 ↑,-4.888 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,TFWS,19100.0,93.6711,25383.0,92.5854,+6283 ↑,-1.0857 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),GOPENS,59720.0,79.1319,60994.0,81.5805,+1274 ↑,+2.4486 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),LOPENS,49676.0,82.782,56812.0,82.8438,+7136 ↑,+0.0618 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),SC/ST,83866.0,69.2755,87201.0,72.3761,+3335 ↑,+3.1006 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),OBC/SEBC,64698.0,77.1713,62539.0,81.0404,-2159 ↓,+3.8691 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),GNT,68751.0,75.5247,70634.0,78.4243,+1883 ↑,+2.8996 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),EWS,123093.0,49.5131,143125.0,47.1396,+20032 ↑,-2.3735 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering (IoT),TFWS,46384.0,84.1571,52980.0,84.0903,+6596 ↑,-0.0668 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,GOPENS,51746.0,82.1494,60499.0,81.6453,+8753 ↑,-0.5041 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,LOPENS,48778.0,83.1984,53370.0,83.9368,+4592 ↑,+0.7384 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,SC/ST,75509.0,72.8411,85334.0,73.2613,+9825 ↑,+0.4202 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,OBC/SEBC,53508.0,81.4942,63358.0,80.8599,+9850 ↑,-0.6343 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,GNT,57006.0,80.2358,73298.0,77.1632,+16292 ↑,-3.0726 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,EWS,119360.0,51.217,179178.0,23.4132,+59818 ↑,-27.8038 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,TFWS,40353.0,86.1765,52751.0,84.1438,+12398 ↑,-2.0327 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,GOPENS,37080.0,87.4464,44673.0,86.6827,+7593 ↑,-0.7637 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,LOPENS,33326.0,88.7353,42000.0,87.5666,+8674 ↑,-1.1687 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,SC/ST,53210.0,81.6588,57835.0,82.4521,+4625 ↑,+0.7933 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,OBC/SEBC,38680.0,86.8242,45847.0,86.387,+7167 ↑,-0.4372 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,GNT,47900.0,83.538,48678.0,85.4179,+778 ↑,+1.8799 ↑
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,EWS,73651.0,73.7743,98577.0,68.1164,+24926 ↑,-5.6579 ↓
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,TFWS,21921.0,92.709,34585.0,89.8392,+12664 ↑,-2.8698 ↓
